projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
DR-4301-0008-R,HMGP,2017,9,California,6,San Mateo,81,4301.0,SAN MATEO,200.6: Acquisition of Private Real Property (Structures and Land) - Landslide,Closed,Statewide,False,San Mateo (County),False,HMGP,2021-11-17T00:00:00.000Z,2021-11-17T00:00:00.000Z,2018-05-11T00:00:00.000Z,2274105.01,2018-06-19T00:00:00.000Z,2136437.0,1705578.76,0.0,0.0,0.0,0.75,1.15,3829560.0,2,3,09e564ba-0472-48d7-a094-f196d4869178
DR-1203-110-R,HMGP,1998,9,California,6,San Mateo,81,1203.0,SAN MATEO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,San Mateo County,,HMGP-Historical,1998-10-30T00:00:00.000Z,2002-09-03T00:00:00.000Z,,2462502.0,,,1846877.0,,,,0.75,1.0,1604610.0,12,12,1ba94368-788f-4e8a-ab9b-496858bb623f
DR-1203-111-R,HMGP,1998,9,California,6,San Mateo,81,1203.0,SAN MATEO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,City of Pacifica,,HMGP-Historical,1998-11-02T00:00:00.000Z,2001-09-19T00:00:00.000Z,,1804325.0,,,1353244.0,,,,0.75,1.0,1642725.0,10,11,b94e009f-7fdb-4805-b3a5-f78040776f27
DR-1044-1049-R,HMGP,1995,9,California,6,San Mateo,81,1044.0,SAN MATEO,200.2: Acquisition of Private Real Property (Structures and Land) - Coastal,Closed,,,Daly City,,HMGP-Historical,2001-06-04T00:00:00.000Z,2003-01-10T00:00:00.000Z,,687053.0,,,515290.0,,,,0.75,1.0,700000.0,3,3,ac7d676d-5f70-40f4-b3de-31fab642e8f7
DR-1203-118-R,HMGP,1998,9,California,6,San Benito,69,1203.0,SAN BENITO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,San Benito County,,HMGP-Historical,1998-10-30T00:00:00.000Z,2000-11-20T00:00:00.000Z,,463344.0,,,347508.0,,,,0.75,1.0,463344.0,1,1,1aa2b2f4-ba8d-4bc0-9e31-bfd2bc5f42e3
DR-1203-119-R,HMGP,1998,9,California,6,San Mateo,81,1203.0,SAN MATEO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Daly City,,HMGP-Historical,1998-10-29T00:00:00.000Z,2003-01-10T00:00:00.000Z,,4861304.0,,,3645978.0,,,,0.75,1.0,338100.0,20,20,29518993-feb2-4500-8c03-e92bdfc157b1
FMA-PJ-09CA-1998002,FMA,1998,9,California,6,Lake,33,,LAKE,200.2: Acquisition of Private Real Property (Structures and Land) - Coastal,Void,,,"Clearlake, City Of",,FMA,,,,477000.0,,,0.0,,,,0.75,,,0,0,75f70b90-ab6c-4d90-b725-fd780ffc7a14
PDMC-PJ-09-CA-2005-085,PDM,2005,9,California,6,Napa,55,,NAPA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,Governors Office of Emergency Services,False,City of St. Helena,False,eGrants,,,,8715140.0,,,,,,,0.34,1.53,304416.0,28,28,4d8a6605-709d-4311-b736-ff4d3558795c
DR-1008-6065-R,HMGP,1994,9,California,6,Butte,7,1008.0,BUTTE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Butte County Office of Emergency Services,,HMGP-Historical,1998-09-22T00:00:00.000Z,2003-07-17T00:00:00.000Z,,203000.0,,,152250.0,,,,0.75,1.0,203000.0,1,1,06f27196-0fc5-4d51-b64e-b006996c3d1e
DR-1155-0008-R,HMGP,1997,9,California,6,Napa,55,1155.0,NAPA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,City of Napa,,HMGP-Historical,1997-08-14T00:00:00.000Z,2003-01-15T00:00:00.000Z,,4404500.0,,,3303375.0,,,,0.75,2.5,11011250.0,63,69,86590977-675b-4e7a-b8ab-72847eeb6bf4
DR-1046-1005-R,HMGP,1995,9,California,6,Napa,55,1046.0,NAPA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,City of Napa,,HMGP-Historical,1997-09-02T00:00:00.000Z,2005-03-24T00:00:00.000Z,,1255983.0,,,941987.0,,,,0.75,1.97,2959143.0,5,12,39344b8a-1d1f-496b-9027-31086735c1fd
DR-1203-0040-R,HMGP,1998,9,California,6,Mono,51,1203.0,MONO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Mono County,,HMGP-Historical,1998-03-25T00:00:00.000Z,2003-01-17T00:00:00.000Z,,2974616.0,,,2230962.0,,,,0.75,1.2,6000000.0,18,18,76f9ce5f-5225-433f-bde5-b77fcf3d707a
PDMC-PJ-09-CA-2008-024,PDM,2008,9,California,6,Yuba,115,,YUBA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,Governors Office of Emergency Services,False,Yuba County,False,eGrants,,,,1982800.12,,,,,,,0.75,1.33,2643685.0,2,2,6d162087-3c1c-43ad-829c-65e153b96552
DR-4382-0035,HMGP,2018,9,California,6,Contra Costa,13,4382.0,CONTRA COSTA,"200.5: Acquisition of Vacant Land; 
405.1: Other Minor Flood Control",Pending,Statewide,False,BETHEL ISLAND MUNICIPAL IMPROVEMENT DISTRICT,False,HMGP,,,,0.0,,,,,,,0.75,7.62,6938023.0,0,1,bdae16c7-e90d-4261-9a68-7a15f906cbfd
DR-4769-0007,HMGP,2024,9,California,6,Humboldt,23,4769.0,HUMBOLDT,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,False,Blue Lake,False,HMGP,,2026-06-22T00:00:00.000Z,,739467.0,,,,,,,0.75,0.0,0.0,0,1,5e591205-7e74-4988-ac76-fe7bbb8f1196
FMA-PJ-09-CA-2013-003,FMA,2013,9,California,6,Placer,61,,PLACER,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Not Approved / Denied,Office of Emergency Services (Cal OES),False,City of Roseville,False,eGrants,,,,507796.0,,,,,,,0.75,1.45,734708.0,1,1,956eda08-552e-4a02-a711-1e4e6350f62f
DR-1155-0032-R,HMGP,1997,9,California,6,Placer,61,1155.0,PLACER,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,PLACER COUNTY,,HMGP-Historical,1997-12-15T00:00:00.000Z,1998-11-24T00:00:00.000Z,,207379.0,,,152692.0,,,,0.74,1.19,2618000.0,1,1,24f9cbca-c4cd-4f79-9df4-4ea25b9fd259
PDMC-PJ-09-CA-2014-011,PDM,2014,9,California,6,Placer,61,,PLACER,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,California Office of Emergency Services (Cal OES),False,City of Roseville,False,eGrants,2017-01-05T00:00:00.000Z,2024-05-10T00:00:00.000Z,2017-01-06T00:00:00.000Z,507796.0,2017-01-06T00:00:00.000Z,380847.0,265185.92,,,,0.75,1.45,734708.0,1,1,cb826c36-cb7b-4cba-bd86-36fb9060234a
DR-1203-107-R,HMGP,1998,9,California,6,Humboldt,23,1203.0,HUMBOLDT,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Humboldt County,,HMGP-Historical,1998-11-02T00:00:00.000Z,2000-08-14T00:00:00.000Z,,1704778.0,,,1278584.0,,,,0.75,1.0,1749647.0,14,14,99ec729a-648a-4c66-9917-de6254f79e17
DR-1203-116-R,HMGP,1998,9,California,6,Alameda,1,1203.0,ALAMEDA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Withdrawn,,,"Berkeley, City of",,HMGP-Historical,1998-10-30T00:00:00.000Z,2000-03-14T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.0,288120.0,0,1,0b22969a-47c1-409b-ae8b-8431c6b2f4aa
FMA-PJ-09-CA-2007-004,FMA,2007,9,California,6,Placer,61,,PLACER,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,California's Governor's Office of Emergency Services,False,City of Roseville,False,eGrants,2008-06-20T00:00:00.000Z,2009-03-05T00:00:00.000Z,2008-06-26T00:00:00.000Z,369927.0,2008-06-26T00:00:00.000Z,227996.0,227996.0,,,,0.62,1.99,734917.0,1,1,81707b17-e9ce-4842-b4d8-7483e036c0c7
DR-1203-109-R,HMGP,1998,9,California,6,Alameda,1,1203.0,ALAMEDA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Withdrawn,,,"Oakland, City of",,HMGP-Historical,1998-10-30T00:00:00.000Z,2002-01-03T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.0,413233.0,9,9,d88fd44b-6e60-42bf-9a23-b3680e1726f9
DR-1203-0028-R,HMGP,1998,9,California,6,Yuba,115,1203.0,YUBA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Marysville,,HMGP-Historical,1998-03-18T00:00:00.000Z,2002-01-17T00:00:00.000Z,,52807.0,,,39605.0,,,,0.75,1.0,75000.0,1,1,5c291022-2fd5-4167-b598-0949e05a17c1
FMA-PJ-09-CA-2006-002,FMA,2006,9,California,6,Placer,61,,PLACER,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,California's Governor's Office of Emergency Services,False,City of Roseville,False,eGrants,2006-07-28T00:00:00.000Z,2008-06-26T00:00:00.000Z,2006-08-22T00:00:00.000Z,785893.12,2006-08-22T00:00:00.000Z,589419.84,586381.0,,,,0.75,2.11,1660787.0,2,2,65513ee6-ce68-4d68-bb82-6625771b2f1e
DR-4308-0035-R,HMGP,2017,9,California,6,Contra Costa,13,4308.0,CONTRA COSTA,"200.5: Acquisition of Vacant Land; 
405.1: Other Minor Flood Control",Approved,Statewide,False,BETHEL ISLAND MUNICIPAL IMPROVEMENT DISTRICT,False,HMGP,2024-08-29T00:00:00.000Z,,2020-10-27T00:00:00.000Z,826599.0,2020-11-03T00:00:00.000Z,125100.0,619949.25,0.0,0.0,0.0,0.75,2.02,1696713.0,0,1,9493bf9c-ad37-4c0f-9b0a-37973618de06
DR-4382-0034,HMGP,2018,9,California,6,Humboldt,23,4382.0,HUMBOLDT,200.5: Acquisition of Vacant Land,Pending,Statewide,False,WILLOW CREEK COMMUNITY SERVICES DISTRICT,False,HMGP,,,,0.0,,,,,,,0.75,1.65,667457.0,0,1,37f05eb7-5174-4574-982b-5bf64dd8e5e2
